hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
49, 1800.00000, 2358.36, 2.04342, 2311.78, 4.87815, 2370.29, 2.66093
49, 2700.00000, 2492.31, 2.56942, 2580.78, 5.13972, 2464.41, 3.14495
50, 0.00000, 2574.92, 3.11016, 2570.38, 5.94859, 2551.57, 3.56355
50, 900.00000, 1255.45, 17.1054, 1491.47, 19.8248, 1411.64, 13.9574
50, 1800.00000, 633.492, 115.892, 710.579, 97.3111, 522.552, 79.9326
50, 2700.00000, 2335.32, 8.02544, 2582.52, 12.3022, 2385.83, 8.00725
51, 0.00000, 2952.67, 6.01762, 2929.99, 8.99132, 2953.51, 6.38651
51, 900.00000, 2970.84, 6.33881, 3049.48, 9.54561, 2949.92, 6.74193
51, 1800.00000, 3021.09, 6.58717, 2983.2, 9.96332, 3002.57, 6.81832
51, 2700.00000, 2353.89, 10.2461, 2600.57, 14.6427, 2403.42, 9.55229
52, 0.00000, 628.182, 81.5888, 919.213, 68.6334, 686.343, 53.9014
52, 900.00000, 988.246, 27.9086, 1377.63, 30.6531, 1121.16, 22.4016
52, 1800.00000, 2744.68, 6.09653, 2860.33, 10.5932, 2783.78, 6.47235
52, 2700.00000, 2727.02, 6.0666, 2837.44, 8.84526, 2783.61, 6.35456
53, 0.00000, 2697.16, 5.97181, 2736.3, 9.59443, 2753.15, 6.42854
53, 900.00000, 2742.71, 6.24522, 2899.78, 9.56351, 2777.28, 6.62594
53, 1800.00000, 630.054, 73.7585, 865.953, 66.2433, 796.297, 43.8504
53, 2700.00000, 713.31, 117.383, 846.048, 84.6888, 606.891, 77.8834
54, 0.00000, 3051.27, 6.9881, 3224, 11.6732, 3100.36, 7.23483
54, 900.00000, 3093.5, 6.69809, 3373.47, 11.165, 3097.26, 6.71457
54, 1800.00000, 3067.09, 6.28247, 3244.46, 10.6408, 3123.47, 6.72817
54, 2700.00000, 3005.96, 6.22416, 3155.96, 9.88028, 3032.76, 6.49028
55, 0.00000, 2460.58, 8.07036, 2568.57, 12.9722, 2529.51, 7.97358
55, 900.00000, 872.496, 133.532, 848.16, 111.146, 585.846, 107.762
55, 1800.00000, 1063.84, 15.6518, 1293.37, 23.6801, 1201.42, 13.8455
55, 2700.00000, 2410.68, 3.18774, 2500.14, 7.28055, 2414.07, 3.71459
56, 0.00000, 2418.41, 2.90542, 2436.83, 7.38337, 2390.66, 3.16373
56, 900.00000, 2341.81, 2.2181, 2385.53, 5.18327, 2334.07, 2.69399
56, 1800.00000, 2228.1, 2.43293, 2140.75, 5.45065, 2175.32, 2.55964
56, 2700.00000, 339.168, 100.91, 449.898, 76.4147, 347.173, 54.6815
57, 0.00000, 492.233, 139.062, 496.021, 119.551, 301.289, 103.723
57, 900.00000, 2428.91, 2.01656, 2471.92, 4.54822, 2413.98, 2.42156
57, 1800.00000, 2533.8, 2.15885, 2487.68, 4.96582, 2526.72, 2.73609
57, 2700.00000, 2717.05, 3.0366, 2798.97, 5.27951, 2687.63, 3.75508
58, 0.00000, 2889.79, 3.90826, 2878.04, 6.38519, 2853.85, 4.30942
58, 900.00000, 1045.6, 29.2229, 1373.72, 29.8521, 1266.06, 21.7911
58, 1800.00000, 749.768, 116.861, 892.739, 90.8478, 609.405, 83.7699
58, 2700.00000, 2450.56, 8.35697, 2741.44, 12.8578, 2557.24, 8.62162
59, 0.00000, 3232.42, 5.70473, 3345.75, 9.94491, 3242.22, 6.19382
59, 900.00000, 3255.04, 6.0616, 3439.21, 9.63919, 3259.07, 6.54975
59, 1800.00000, 3328.23, 6.30356, 3385.73, 9.87355, 3281.08, 6.72636
59, 2700.00000, 2536.21, 10.1072, 2706.43, 13.1205, 2605.19, 9.65666
60, 0.00000, 750.958, 110.585, 892.689, 91.3999, 656.357, 75.4178
60, 900.00000, 939.683, 32.0366, 1351.56, 31.9426, 1140.51, 24.5065
60, 1800.00000, 3059.05, 6.04007, 3114.57, 8.9846, 3023.28, 6.12241
60, 2700.00000, 3010.88, 5.84804, 3179.99, 8.47413, 3022.37, 6.21586
61, 0.00000, 2978.45, 5.73099, 3044.58, 8.67743, 3009.94, 6.2345
61, 900.00000, 3067.52, 6.26794, 3209.39, 9.09125, 3046.34, 6.59476
61, 1800.00000, 725.102, 59.4825, 986.594, 55.221, 922.16, 38.7203
61, 2700.00000, 688.635, 103.041, 974.997, 73.1069, 686.617, 66.8636
62, 0.00000, 3270.94, 6.543, 3431.92, 11.0897, 3303.01, 6.99534
62, 900.00000, 3256.14, 6.4152, 3520.93, 10.6786, 3258.98, 6.87972
62, 1800.00000, 3192.83, 6.17066, 3254.87, 9.55381, 3193.11, 6.51198
62, 2700.00000, 3099.75, 6.03272, 3266.16, 9.83816, 3160.98, 6.46867
63, 0.00000, 1625.66, 16.5089, 1743.48, 21.0239, 1897.89, 13.9953
63, 900.00000, 860.942, 134.644, 831.58, 110.978, 577.495, 109.898
63, 1800.00000, 1419.64, 10.1394, 1516.03, 16.4533, 1498.54, 9.79899
63, 2700.00000, 2416.82, 3.56807, 2511.23, 7.65989, 2362.47, 3.55908
64, 0.00000, 2351.88, 2.87575, 2270.41, 6.10076, 2306.41, 2.84686
64, 900.00000, 2295.45, 2.43599, 2292.67, 5.12138, 2249.39, 2.38639
64, 1800.00000, 2045.96, 2.70147, 1965.12, 5.99097, 2035.06, 2.87113
64, 2700.00000, 306.533, 91.3704, 426.238, 71.9921, 368.764, 46.5181
65, 0.00000, 597.957, 146.886, 577.095, 131.613, 351.91, 119.893
65, 900.00000, 2256.51, 2.29962, 2273.25, 4.79725, 2284.41, 3.03499
65, 1800.00000, 2322.75, 2.46225, 2262.33, 5.30603, 2335.28, 3.08605
65, 2700.00000, 2456.85, 2.96712, 2543.74, 5.55788, 2430.48, 3.58131
66, 0.00000, 2578.17, 3.65809, 2564.14, 6.48827, 2554.99, 4.16788
66, 900.00000, 2086.96, 7.025, 2170.96, 9.72849, 2116.84, 6.99836
66, 1800.00000, 1666.31, 12.0659, 1851.61, 17.9802, 1789.76, 11.1967
66, 2700.00000, 2053.42, 9.75389, 2254.09, 13.9621, 2087.18, 9.74646
67, 0.00000, 2870.26, 6.54133, 2913.11, 10.6016, 2884.59, 6.94283
67, 900.00000, 2859.62, 6.67029, 2996.23, 10.1512, 2878.95, 7.26951
67, 1800.00000, 2890.8, 6.67571, 2961.16, 10.5934, 2892.42, 7.18168
67, 2700.00000, 2085.16, 12.1832, 2295.37, 16.2525, 2184.86, 11.8871
68, 0.00000, 1005.15, 134.883, 1021.46, 120.398, 694.672, 110.163
68, 900.00000, 611.833, 54.8531, 976.649, 45.5864, 830.529, 36.8086
68, 1800.00000, 2781.03, 6.48433, 2917.69, 10.8696, 2772.78, 6.74974
68, 2700.00000, 2738.85, 6.25907, 2891.86, 9.12614, 2783.03, 6.64625
69, 0.00000, 2728.16, 6.07615, 2815.6, 9.52897, 2770.67, 6.64051
69, 900.00000, 2792.73, 6.45255, 2915.87, 8.95098, 2774.8, 6.7749
69, 1800.00000, 651.907, 86.7096, 926.434, 69.2304, 720.562, 55.1017
69, 2700.00000, 817.562, 121.274, 842.328, 94.7205, 630.303, 92.0596
70, 0.00000, 2921.91, 7.13799, 2985.04, 10.8708, 2935.95, 7.39608
70, 900.00000, 3140.5, 6.56073, 3331.21, 9.97146, 3138.3, 6.81939
