hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
60, 1800.00000, 2068.58, 17.6167, 1962.15, 13.6562, 1927, 15.9175
60, 2700.00000, 1898.58, 15.3545, 1865.67, 13.7019, 2050.55, 18.9499
61, 0.00000, 1848.61, 16.6738, 1804.62, 13.5408, 2008.8, 22.111
61, 900.00000, 1964.69, 16.2474, 1888.55, 13.7646, 2124.28, 20.9643
61, 1800.00000, 7461.15, 56.8572, 927.548, 46.9631, 1174.67, 56.7205
61, 2700.00000, 3100.25, -130.713, 1021.08, 53.1747, 1077.67, 65.4865
62, 0.00000, 2204.84, 17.7493, 2163.44, 14.5029, 2092.24, 16.6012
62, 900.00000, 2285.22, 16.2577, 2136.35, 13.8507, 2458.2, 21.0882
62, 1800.00000, 2423.25, 20.5533, 2136.51, 13.8888, 2127.88, 16.126
62, 2700.00000, 2327.1, 19.8461, 2117.12, 13.9839, 2111.7, 15.6266
63, 0.00000, 1384.34, 46.1252, 1440.3, 25.4747, 1385.38, 31.2054
63, 900.00000, 4850.35, 22.8147, 776.316, 62.7663, 1338.33, 64.7611
63, 1800.00000, 1208.29, 32.0227, 1339.83, 22.1081, 1344.32, 27.7505
63, 2700.00000, 1559.92, 14.8181, 1549.89, 13.344, 1685.35, 14.8278
64, 0.00000, 1508.24, 15.799, 1495.26, 12.8148, 1516.92, 14.7606
64, 900.00000, 1450.41, 13.4974, 1413.72, 12.2953, 1546.6, 13.5634
64, 1800.00000, 1256.62, 17.5893, 1277.5, 13.5664, 1341.66, 15.7632
64, 2700.00000, 975.584, 95.289, 623.556, 49.7545, 717.938, 55.2821
65, 0.00000, 837.827, 107.033, 572.13, 62.3326, 662.685, 78.5782
65, 900.00000, 1372.81, 13.2728, 1387.66, 11.862, 1505.97, 12.8719
65, 1800.00000, 1422.28, 15.0092, 1422.88, 11.6866, 1498.55, 13.6792
65, 2700.00000, 1554.47, 13.0168, 1570.15, 11.5585, 1660.95, 12.8993
66, 0.00000, 1585.25, 14.58, 1663.86, 12.227, 1670.99, 13.6933
66, 900.00000, 1415.28, 21.1791, 1510.58, 16.9705, 1779.99, 24.4317
66, 1800.00000, 1278.97, 32.0512, 1386.68, 22.3824, 1457.16, 25.3393
66, 2700.00000, 1583.34, 24.7047, 1617.62, 18.638, 1716.55, 21.087
67, 0.00000, 2013.02, 19.4533, 1968.61, 14.8136, 2109.93, 21.3168
67, 900.00000, 1955.43, 18.2384, 1906.91, 15.0543, 1999.54, 15.3701
67, 1800.00000, 2043.94, 19.0716, 1909.61, 15.2606, 1896.15, 16.5353
67, 2700.00000, 1444.34, 29.6514, 1463.17, 22.3675, 1743.66, 30.2091
68, 0.00000, 24443.3, 31.9751, 648.845, 86.2843, 905.445, 82.8012
68, 900.00000, 1083.31, 58.3987, 1148.11, 38.2516, 1353.52, 51.4421
68, 1800.00000, 1903.29, 17.7157, 1864.43, 14.8902, 1758.65, 16.4489
68, 2700.00000, 1836.27, 16.0424, 1819.48, 14.7495, 1876.29, 15.977
69, 0.00000, 1879.33, 17.074, 1844.98, 14.7642, 1799.16, 16.5842
69, 900.00000, 1894.53, 16.249, 1839.48, 14.2537, 2059.86, 21.6572
69, 1800.00000, 11822, 53.4037, 884.856, 51.1332, 916.77, 59.2812
69, 2700.00000, 11386.8, -126.075, 1070.41, 55.7954, 1391.7, 71.6736
70, 0.00000, 2156.12, 18.6367, 2061.3, 14.9606, 2192.46, 22.4318
70, 900.00000, 2298.83, 15.7522, 2199.2, 13.752, 2415.03, 19.8259
70, 1800.00000, 2259.68, 16.6106, 2195.19, 13.5365, 2337.45, 20.2853
70, 2700.00000, 2177.18, 15.656, 2100.32, 13.5849, 2417.96, 22.8792
71, 0.00000, 1381.51, 41.8611, 1449.8, 25.0814, 1631.83, 36.1015
71, 900.00000, 1072.86, 54.1793, 1137.13, 33.3217, 1343.95, 37.2457
71, 1800.00000, 1088.93, 42.1817, 1233.36, 26.1556, 1255.51, 33.3932
71, 2700.00000, 1662.43, 14.6199, 1631.08, 12.3816, 1987.65, 20.7922
72, 0.00000, 1559.22, 15.6796, 1557.17, 12.4463, 1621.01, 14.4644
72, 900.00000, 1477.71, 13.081, 1469.77, 11.7254, 1638.73, 13.0358
72, 1800.00000, 1274.18, 18.014, 1310.72, 13.3075, 1588.88, 23.2264
72, 2700.00000, 50249.1, 46.2166, 530.312, 100.35, 385.185, 83.2406
73, 0.00000, 3159.35, -132.078, 594.482, 73.7346, 712.591, 86.2421
73, 900.00000, 1434.01, 12.2413, 1470.14, 10.9444, 1662.56, 11.9674
73, 1800.00000, 1499.71, 14.1441, 1515.14, 11.1684, 1636.3, 12.5641
73, 2700.00000, 1613.39, 12.5076, 1645.03, 11.056, 1782.87, 12.0269
74, 0.00000, 1618.43, 14.1071, 1671.42, 11.0501, 1704.6, 13.0632
74, 900.00000, 4035.44, 67.6754, 858.354, 40.1196, 1200.31, 43.5313
74, 1800.00000, 62886.3, -94.2352, 527.845, 54.4533, 1557.04, 96.4881
74, 2700.00000, 1556.32, 23.9828, 1562.29, 18.2927, 1979.17, 27.1399
75, 0.00000, 1954.53, 19.3536, 1825.11, 14.1425, 2092.08, 21.8554
75, 900.00000, 1937.99, 17.921, 1822.11, 15.2282, 2150.49, 21.6868
75, 1800.00000, 1990.41, 18.7408, 1817.84, 15.0194, 1871.8, 17.1461
75, 2700.00000, 1332.14, 30.4916, 1408.36, 23.0391, 1602.54, 28.355
76, 0.00000, 34842.7, 31.8736, 642.049, 94.6353, 873.9, 84.2469
76, 900.00000, 963.75, 66.2326, 1042.95, 41.7254, 1134.53, 55.6764
76, 1800.00000, 1803.02, 17.5684, 1758.78, 15.3092, 1664.7, 17.2136
76, 2700.00000, 1742.93, 16.793, 1684.08, 15.0593, 1838.19, 20.1395
77, 0.00000, 1704.04, 17.9193, 1688.07, 15.2931, 1676.15, 18.9904
77, 900.00000, 1788.49, 16.4086, 1727.79, 15.1792, 1781.18, 17.0394
77, 1800.00000, 12837.2, 51.714, 801.876, 57.4858, 994.087, 62.3913
77, 2700.00000, 20522.8, -124.977, 1089.01, 59.5602, 1447.73, 78.3379
78, 0.00000, 2034.79, 18.6097, 1935.37, 15.8848, 2002.66, 17.9461
78, 900.00000, 2157.86, 16.2058, 2093.17, 14.5653, 2165.81, 16.1716
