bus,voltage
p13udm66044,1.0171687846026336
p13udm66045,1.015509964248329
p13udm66046,1.0237756176025572
p13udm66048,1.0226136909420234
p13udm66049,1.022730820971748
p13udm66051,1.0232672759702717
p13udm66052,1.0233298941418902
p13udm66054,1.0230956312428547
p13udm66056,1.0150667952280568
p13udm66057,1.0154520029193324
p13udm66058,1.0159407853949074
p13udm66059,1.014608743475721
p13udm66060,1.0130849277446499
p13udm66061,1.0164372511043736
p13udm66062,1.0196361850146953
p13udm66066,1.0174726582930893
p13udm66068,1.0175259961208467
p13udm66069,1.0164320783825538
p13udm66070,1.0167868604185508
p13udm66071,1.0174266836128418
p13udm66075,1.017651862853427
p13udm66076,1.017296459026756
p13udm66077,1.0239006740754644
p13udm66078,1.0236258528340705
p13udm66079,1.0231751425318367
p13udm66080,1.0228508816315172
p13udm66082,1.0173007187178802
p13udm66085,1.0182762790027713
p13udm66088,1.0208082523646205
p13udm66089,1.0212946667771443
p13udm66090,1.0215986645211297
p13udm66092,1.0190862163190268
p13udm66093,1.0199417874571095
p13udm66095,1.022553643025656
p13udm66096,1.0221595888556494
p13udm66097,1.0225580117256214
p13udm66098,1.0233679699854408
p13udm66100,1.0244015167963947
p13udm66101,1.019373505494702
p13udm66103,1.0201972833710724
p13udm66106,1.0160985138897205
p13udm66108,1.0139816896090097
p13udm66111,1.0168956239918456
p13udm66114,1.016725331454809
p13udm66116,1.02156786882513
p13udm66117,1.0209150110737124
p13udm66120,1.0207381975681575
p13udm66121,1.0213858948915382
p13udm66122,1.0229534518792218
p13udm66127,1.016798238849235
p13udm66128,1.0154704331441673
p13udm66129,1.0176441184900757
p13udm66130,1.0178221991655254
p13udm66133,1.0187392435409357
p13udm66134,1.0183660220933628
p13udm66136,1.0171702654668415
p13udm66142,1.0197180517356161
p13udm66143,1.0183247924966472
p13udm66144,1.0194579132949926
p13udm66145,1.0183288812886118
p13udm66151,1.019591183105632
p13udm66152,1.0192734095325546
p13udm66153,1.0187853566637777
p13udm66154,1.0192653989231533
p13udm66157,1.0221133759828513
